uid,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,cd,council,ct2010,ct2020,nta2010,nta2020,facgroup,facsubgrp,factype,capacity,captype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea,geometry
3069452661644342ee6b11a4037f5c84,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,40,IRVING PLACE,40 IRVING PLACE,NEW YORK,MANHATTAN,1,10003,40.73531922,-73.98708507,987829.1662,207173.4739,1017828,1008720057,106,2,5000,5000,MN21,MN0602,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,429,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",2,13,Local,POINT(987829.1662182808 207173.47393465042)
30f02aea2c3a09b708975a11775234dc,UNITED CHARTER HIGH SCHOOL FOR THE HUMANITIES,99,TERRACE VIEW AVENUE,99 TERRACE VIEW AVENUE,NEW YORK,MANHATTAN,1,10463,40.87723937,-73.91312044,1008275.988,258891.6646,1064532,1022150080,208,10,30900,30900,MN01,BX0802,SCHOOLS (K-12),CHARTER K-12 SCHOOLS,HIGH SCHOOL - CHARTER,678,seats,Non-public,United Charter High School for the Humanities,Non-public,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",10,50,Local,POINT(1008275.9883160591 258891.66457748413)
32286ae5b5b6cb364f11c60828d9b75a,ACCION ACADEMY,977,FOX STREET,977 FOX STREET,BRONX,BRONX,2,10459,40.82220539,-73.89443209,1013468.292,238846.3856,2005660,2027140004,202,17,15900,15900,BX27,BX0202,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,450,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",12,41,Local,POINT(1013468.2916030884 238846.38558340073)
328960ad8f716f981991932afee6ddcc,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,3000,EAST TREMONT AVENUE,3000 EAST TREMONT AVENUE,BRONX,BRONX,2,10461,40.83994071,-73.8391403,1028759.658,245331.2772,2074045,2053680001,210,13,19400,19400,BX52,BX1002,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,332,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",11,45,Local,POINT(1028759.658156395 245331.27723693848)
329210b001cfdf7f1d2fdfabb0ed661f,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,94-50,159 STREET,94-50 159 STREET,JAMAICA,QUEENS,4,11433,40.70089456,-73.79833858,1040166.046,194695.6166,4215611,4100990052,412,27,24600,24600,QN61,QN1201,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,396,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",28,103,Local,POINT(1040166.0458321571 194695.61662197113)
32ad8aaa5d0a073b9da53cce3f7812d0,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,200,MONROE STREET,200 MONROE STREET,NEW YORK,MANHATTAN,1,10002,40.71228015,-73.98406766,988666.9184,198779.7665,1003214,1002590044,103,1,202,202,MN28,MN0302,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,767,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",1,7,Local,POINT(988666.918405056 198779.7664823532)
3330d6b496b7170aff31b20867b54fb9,HADRAN ACADEMY,4419,13 AVENUE,4419 13 AVENUE,BROOKLYN,BROOKLYN,3,11219,40.63726509,-73.98947542,987171.0103,171449.408,3328593,3056110001,312,44,23200,23200,BK88,BK1202,SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,MIDDLE SCHOOL - NON-PUBLIC,0,,Non-public,Hadran Academy,Non-public,City,NYC Department of Education,NYCDOE,nysed_activeinstitutions,"EDUCATION, CHILD WELFARE, AND YOUTH",20,66,Local,POINT(987171.0102620125 171449.4079761505)
3357a93f4e253eb77de772119cdabd6c,THE CINEMA SCHOOL,1551,EAST 172 STREET,1551 EAST 172 STREET,BRONX,BRONX,2,10472,40.8321013,-73.87745464,1018162.137,242457.9423,2117663,2038640012,209,17,5600,5600,BX08,BX0901,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,400,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",12,43,Local,POINT(1018162.13677454 242457.94228124619)
34aef9e46e99d6806e8c83868f4bedd6,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,10,SOUTH STREET,10 SOUTH STREET,NEW YORK,MANHATTAN,1,10004,40.70104936,-74.01171389,981002.0146,194687.8696,1000003,1000020002,101,1,900,900,MN25,MN0101,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,517,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",2,1,Local,POINT(981002.0145697594 194687.86965751648)
350aead60a845f6edf6898232e0bf5ca,XAVERIAN HIGH SCHOOL,7100,SHORE ROAD,7100 SHORE ROAD,BROOKLYN,BROOKLYN,3,11209,40.63672231,-74.03560726,974367.418,171253.492,3146153,3058830001,310,47,3400,3400,BK31,BK1001,SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,MIDDLE SCHOOL - NON-PUBLIC,0,,Non-public,Xaverian High School,Non-public,City,NYC Department of Education,NYCDOE,nysed_activeinstitutions,"EDUCATION, CHILD WELFARE, AND YOUTH",20,68,Local,POINT(974367.4179935455 171253.49195861816)
