uid,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,cd,council,ct2010,ct2020,nta2010,nta2020,facgroup,facsubgrp,factype,capacity,captype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea,geometry
f0fe7c2230f4ace8bdefffba98b4d8c7,O'DWYER GARDENS COMMUNITY CENTER,2945,WEST 33 STREET,2945 WEST 33 STREET,BROOKLYN,BROOKLYN,3,11224,40.57377078,-73.99869522,984612.4744,148316.6185,3321766,3070480015,313,47,34200,34200,BK21,BK1302,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES; FAMILY SUPPORT,0,,,Brooklyn Bureau of Community Service,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",21,60,Local,POINT(984612.4743819237 148316.61847114563)
f109cceaf9f8c25ea7b3f28204f24340,CHRYSTIE STREET,115,CHRYSTIE STREET,115 CHRYSTIE STREET,NEW YORK,MANHATTAN,1,10002,40.71868137,-73.99390782,985938.7716,201111.5861,1005645,1004230022,103,1,1800,1800,MN27,MN0302,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",EDUCATIONAL SERVICES,0,,,Chinese-American Planning Council Inc,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",2,5,Local,POINT(985938.7715625763 201111.58606100082)
f11a7da31275a66ce67c20ce1d3e651d,QUEST TO LEARN,351,WEST 18 STREET,351 WEST 18 STREET,NEW YORK,MANHATTAN,1,10011,40.74335639,-74.00249987,983557.2846,210101.4161,1013096,1007420007,104,3,8900,8900,MN13,MN0401,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES,0,,,"Manhattan Youth Recreation and Resources, Inc.",,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",2,10,Local,POINT(983557.2846331596 210101.4161143303)
f11b723f54f801e57c03d77a7d8a62b8,I.S. 303 LEADERSHIP & COMMUNITY SERVICE,1700,MACOMBS ROAD,1700 MACOMBS ROAD,BRONX,BRONX,2,10453,40.84946381,-73.91551914,1007622.401,248771.3035,2008460,2028660070,205,14,21502,21502,BX36,BX0501,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES,0,,,"City Year, Inc.",,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",9,46,Local,POINT(1007622.4010772705 248771.3034901619)
f136b925d539e1ba351a3cc9630f88af,EARTH MATTER NYÂ€™S SOIL START FARM,,,758 ENRIGHT ROAD,NEW YORK,MANHATTAN,1,10004,40.6870026,-74.0205891,978539.9244,189570.6746,0,1000010010,101,1,500,500,MN99,MN0191,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,Earth Matter NY,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",2,1,Local,POINT(978539.9243388176 189570.6745443344)
f1571bf3572af7835072262e6d628eb5,YOUNG DANCERS IN REPERTORY'S CENTER FOR DANCE STUDIES,5602,5 AVENUE,5602 5 AVENUE,BROOKLYN,BROOKLYN,3,11220,40.64179127,-74.01413423,980327.4263,173098.5582,3015339,3008390038,307,38,7400,7400,BK32,BK0702,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,"Young Dancers In Repertory, Inc.",,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",20,72,Local,POINT(980327.4262638092 173098.5581612587)
f1585c30d4d25de24c08ee782a3c7902,SUNNYSIDE COMMUNITY SERVICE INC.,43-31,39 STREET,43-31 39 STREET,SUNNYSIDE,QUEENS,4,11104,40.74509536,-73.92561443,1004861.739,210743.7221,4436677,4001910005,402,26,17900,17901,QN31,QN0202,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",EDUCATIONAL SERVICES,0,,,Sunnyside Community Services Inc,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",30,108,Local,POINT(1004861.7393856049 210743.72210359573)
f15900406ac18ae2e2174d348b7a7198,YMCA OF GREATER NEW YORK,37,HICKS STREET,37 HICKS STREET,BROOKLYN,BROOKLYN,3,11201,40.70074697,-73.99282404,986239.7328,194577.5647,3001540,3002110001,302,33,100,100,BK09,BK0201,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,COMPASS ELEMENTARY,0,,,YMCA OF GREATER NEW YORK,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",13,84,Local,POINT(986239.7328119278 194577.56472492218)
f15ad0893bb8eef2f166efac3059194a,MOSHOLU MONTEFIORE COMMUNITY CENTER,174,EAST 205 STREET,174 EAST 205 STREET,BRONX,BRONX,2,10458,40.87494387,-73.88510668,1016024.106,258064.2466,2094745,2033110111,207,11,41300,41300,BX05,BX0702,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",JOBS AND INTERNSHIPS,0,,,Child Development Ctr of the Mosholu Montefiore Comm Center,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",10,52,Local,POINT(1016024.1058573723 258064.24659395218)
f15bc0805d68ab93f3c4f7a6ce6a74bd,CAMBA INC,280,RALPH AVENUE,280 RALPH AVENUE,BROOKLYN,BROOKLYN,3,11233,40.67990427,-73.92336778,1005505.048,186993.1723,3325173,3016880001,303,41,38100,38100,BK61,BK0302,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,CORNERSTONE,0,,,CAMBA INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",16,81,Local,POINT(1005505.0476813316 186993.17226362228)
f1752de2012ce04d39b1391abe7f63f4,IS 239,2401,NEPTUNE AVENUE,2401 NEPTUNE AVENUE,BROOKLYN,BROOKLYN,3,11224,40.57865909,-73.99240491,986359.8048,150097.641,3188221,3069650140,313,47,33000,33000,BK21,BK1302,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,NIA Community Services Network Inc,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",21,60,Local,POINT(986359.8048362732 150097.64103651047)
f18496d0a9f3bf450d85315c1d1cc202,THE CRENULATED COMPANY LTD,1550,TOWNSEND AVENUE,1550 TOWNSEND AVENUE,BRONX,BRONX,2,10452,40.84302624,-73.91424267,1007977.845,246426.1991,2008123,2028450020,204,16,20900,20900,BX63,BX0403,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,THE CRENULATED COMPANY LTD,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",9,44,Local,POINT(1007977.8450398445 246426.19911623)
f199dc7ee2052c319129941b9989d921,P.S. 40 GEORGE WEST CARVER,265,RALPH AVENUE,265 RALPH AVENUE,BROOKLYN,BROOKLYN,3,11233,40.6801946,-73.92147376,1006030.287,187099.4144,3041214,3015180001,303,41,37900,37900,BK35,BK0302,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES,0,,,"New York Edge, Inc.",,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",16,81,Local,POINT(1006030.2869801521 187099.41438674927)
f1a5250a733eaf42e6b7dbee586b756f,SISTERS WITH PURPOSE INC,908,ERSKINE STREET,908 ERSKINE STREET,BROOKLYN,BROOKLYN,3,11239,40.65652483,-73.8682619,1020802.257,178493.5698,3399247,3045860975,305,42,107000,107001,BK82,BK0504,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,SISTERS WITH PURPOSE INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",19,75,Local,POINT(1020802.2570791245 178493.56982517242)
f1a5a02bc63a8dd58ab6377dce70427d,HANAC INC,350,LINWOOD STREET,350 LINWOOD STREET,BROOKLYN,BROOKLYN,3,11208,40.67694573,-73.8838393,1016470.264,185927.358,3088357,3039690001,305,37,117000,117000,BK82,BK0501,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,HANAC INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",19,75,Local,POINT(1016470.2644553185 185927.35798883438)
f1a62b933fecbfae7249f9056d8f56cf,SAMUEL FIELD YM & YWHA INC,70-10,164 STREET,70-10 164 STREET,FRESH MEADOWS,QUEENS,4,11365,40.73116894,-73.80553142,1038147.153,205720.9597,4146990,4067890001,408,24,122701,122704,QN38,QN0802,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,COMPASS ELEMENTARY,0,,,SAMUEL FIELD YM & YWHA INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",25,107,Local,POINT(1038147.1530303955 205720.95967531204)
f1ac5e8923d5ebe02323a81f9aa61367,JERICHO PROJECT,245,WEST 29 STREET,245 WEST 29 STREET,NEW YORK,MANHATTAN,1,10001,40.74879279,-73.99454265,985762.1114,212082.1092,1014282,1007790013,105,3,9500,9500,MN17,MN0501,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,The Jericho Project,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",2,14,Local,POINT(985762.1114149094 212082.10916996002)
f1b6061737c52bf049fdd155d4407124,UNIVERSITY SETTLEMENT AT 175 ELDRIDGE STREET,175,ELDRIDGE STREET,175 ELDRIDGE STREET,NEW YORK,MANHATTAN,1,10002,40.72030835,-73.99112215,986710.9083,201704.41,1005602,1004200062,103,1,1800,1800,MN27,MN0302,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES,0,,,University Settlement Society of New York,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",1,5,Local,POINT(986710.9082856178 201704.41001796722)
f1bd621efca71aa405fd0e468df2bddf,RB YOUTH CENTER,1474,GATES AVENUE,1474 GATES AVENUE,BROOKLYN,BROOKLYN,3,11237,40.69745195,-73.91375224,1008165.759,193388.7806,3387654,3033440016,304,37,43300,43300,BK77,BK0402,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",EDUCATIONAL SERVICES; JOBS AND INTERNSHIPS,0,,,RiseBoro Community Partnership Inc,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",32,83,Local,POINT(1008165.759370327 193388.78056430817)
f1bd66a7c9e01757a70c475b59fd37d4,THE BOYS CLUB OF NEW YORK INC,321,EAST 111 STREET,321 EAST 111 STREET,NEW YORK,MANHATTAN,1,10029,40.7934393,-73.93866348,1001233.603,228354.2197,1052876,1016830013,111,8,18000,18000,MN34,MN1102,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,THE BOYS CLUB OF NEW YORK INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",4,23,Local,POINT(1001233.6027536392 228354.21975135803)
f1c76777ec55770a0db51637221e34e1,M.S. 137 AMERICA'S SCHOOL OF HEROES,109-15,98 STREET,109-15 98 STREET,OZONE PARK,QUEENS,4,11417,40.67831688,-73.83961323,1028736.616,186446.2698,4467457,4091720001,410,32,8600,8600,QN56,QN1002,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES,0,,,Bergen Basin Community Development Corporation,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",27,106,Local,POINT(1028736.6163578033 186446.26977920532)
